2020-08-05 18:21:39.920 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client used: 7.6.2 
2020-08-05 18:21:40.043 [main] WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources. 
2020-08-05 18:21:40.043 [main] INFO  c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath. 
2020-08-05 18:21:40.048 [main] WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources. 
2020-08-05 18:21:40.048 [main] INFO  c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath. 
2020-08-05 18:21:41.197 [main] WARN  o.s.d.e.r.s.AbstractElasticsearchRepository - Cannot create index: Timeout connecting to [localhost/127.0.0.1:9200]; nested exception is java.lang.RuntimeException: Timeout connecting to [localhost/127.0.0.1:9200] 
2020-08-05 18:21:41.533 [main] WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project. 
2020-08-05 18:21:41.618 [main] INFO  c.v.e.ElasticsearchApplication - Started ElasticsearchApplication in 6.743 seconds (JVM running for 8.128) 
2020-08-05 18:21:46.620 [Thread-19] INFO  c.v.e.ElasticsearchApplication - logging... 5283 
2020-08-05 18:21:51.621 [Thread-19] INFO  c.v.e.ElasticsearchApplication - logging... 4844 
2020-08-05 18:21:56.621 [Thread-19] INFO  c.v.e.ElasticsearchApplication - logging... 5629 
